2015-10-07 09:42:10 [DEBUG] [s.m.i.r.i.ItemRuntimeActivator:23   ] - Registered 'item' configuration parser
2015-10-07 09:42:10 [INFO ] [uartz.impl.StdSchedulerFactory:1184 ] - Using default implementation for ThreadExecutor
2015-10-07 09:42:10 [INFO ] [rtz.core.SchedulerSignalerImpl:61   ] - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2015-10-07 09:42:10 [INFO ] [rg.quartz.core.QuartzScheduler:240  ] - Quartz Scheduler v.2.2.1 created.
2015-10-07 09:42:10 [INFO ] [org.quartz.simpl.RAMJobStore  :155  ] - RAMJobStore initialized.
2015-10-07 09:42:10 [INFO ] [rg.quartz.core.QuartzScheduler:305  ] - Scheduler meta-data: Quartz Scheduler (v2.2.1) 'openHAB-job-scheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 2 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2015-10-07 09:42:10 [INFO ] [uartz.impl.StdSchedulerFactory:1339 ] - Quartz scheduler 'openHAB-job-scheduler' initialized from specified file: './runtime/etc/quartz.properties'
2015-10-07 09:42:10 [INFO ] [uartz.impl.StdSchedulerFactory:1343 ] - Quartz scheduler version: 2.2.1
2015-10-07 09:42:10 [DEBUG] [.i.PersistenceRuntimeActivator:23   ] - Registered 'persistence' configuration parser
2015-10-07 09:42:11 [DEBUG] [s.m.r.r.i.RuleRuntimeActivator:35   ] - Registered 'rule' configuration parser
2015-10-07 09:42:12 [DEBUG] [m.s.r.i.ScriptRuntimeActivator:22   ] - Registered 'script' configuration parser
2015-10-07 09:42:12 [DEBUG] [.s.r.i.SitemapRuntimeActivator:23   ] - Registered 'sitemap' configuration parser
2015-10-07 09:42:12 [DEBUG] [.m.t.r.i.ThingRuntimeActivator:23   ] - Registered 'thing' configuration parser
2015-10-07 09:42:13 [WARN ] [.j.s.handler.RequestLogHandler:137  ] - !RequestLog
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'services.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'anel.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'classicui.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'cometvisu.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'denon.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'enocean.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'epsonprojector.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'freeswitch.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'heatmiser.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'homematic.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'http.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'ihc.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'insteonplm.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'jpa.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'knx.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'logging.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'mail.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'marytts.cfg'
2015-10-07 09:42:14 [DEBUG] [.c.d.internal.ConfigDispatcher:222  ] - Processing config file 'milight.cfg'
